ID;NAME;BARCODE;QUANTITY
1889;Ci˜nien. UA-611 Zestaw ;5907581254783;3
1889;Ci˜nien. UA-611 Zestaw ;5907581254783;0
1889;Ci˜nien. UA-611 Zestaw ;5907581254783;0
3978;COLGATE CLASSIC Szczot.d/z©b. Medium 1szt.;8590232000050;0
2155;Collaflex duopack kaps.¾elatyn.twarde 120k;5904960010404;0
2156;Colosan EX z probiotykami prosz. 240 g;5907559279404;0
2128;D-Vitum  Witamina D 1000j.m.36 kaps twist ;5904960010688;0
5207;D-Vitum 600 j.m. witaminy D DHA kaps.twist;5904960014952;1
867;D-Vitum 800 j.m. wit. D dla niem. 96szt.;5904960012460;0
2044;D-Vitum forte 2000 j.m. kaps. 120 kaps.;5904960011241;0
868;D-Vitum forte 2000 j.m. kaps. 60 kaps.;5904960011159;0
2125;D-Vitum forte 4000 j.m. K2 kaps. 60kaps.;5904960013016;0
2124;D-Vitum forte 4000 j.m. kaps. 120 kaps.;5904960013054;0
2046;D-Vitum forte 4000 j.m. kaps. 60 kaps.;5904960013047;0
870;D-Vitum forte Osteo tabl. 60 tabl.;5904960012415;0
2127;D-Vitum IMMUNO EXTRA kaps. 30 kaps.;5904960012613;0
3652;D-Vitum witamina D 1000 j.m. aer, 6ml;5904960011852;0
2129;D-Vitum witamina D dla niem. 400 j.m. 96sz;5904960011289;0
871;D-Vitum witamina D dla niemowl¥t aer.6ml;5904960011852;0
2157;Destresan max kaps. 24kaps.;5904960010039;0
2159;Destresan noc z melatonin¥ kaps. 24kaps.;5904960012255;0
1573;Dr Scott Szczot.d/z©b.dla dzieci z minutni;5907572329919;0
1573;Dr Scott Szczot.d/z©b.dla dzieci z minutni;5907572329919;0
1573;Dr Scott Szczot.d/z©b.dla dzieci z minutni;5907572329919;0
1573;Dr Scott Szczot.d/z©b.dla dzieci z minutni;5907572329919;0
1573;Dr Scott Szczot.d/z©b.dla dzieci z minutni;5907572329919;1
1573;Dr Scott Szczot.d/z©b.dla dzieci z minutni;5907572329919;0
1573;Dr Scott Szczot.d/z©b.dla dzieci z minutni;5907572329919;0
1573;Dr Scott Szczot.d/z©b.dla dzieci z minutni;5907572329919;0
1573;Dr Scott Szczot.d/z©b.dla dzieci z minutni;5907572329919;0
1573;Dr Scott Szczot.d/z©b.dla dzieci z minutni;5907572329919;11
2713;Femibion Natal 1 30 tabl.;5907589874167;0
3622;Filtry higieniczne NoseFrida 10 szt.;7330304404185;0
2078;Flora LGG Baby krople 7 ml;5905919045287;0
2079;Flora LGG MAX kaps. 20 kaps.;5905919045256;0
3660;Gruszka z mi©kkim koäcem nr 2 1 szt.;5904617180023;0
3660;Gruszka z mi©kkim koäcem nr 2 1 szt.;5904617180023;1
3661;Gruszka z mi©kkim koäcem nr 7 1 szt.;5904617180078;0
3662;Gruszka z mi©kkim koäcem nr 9 1 szt.;5904617180092;1
3400;Ibufen dla dzieci FORTE  malinowy 100ml;5907529461334;0
3400;Ibufen dla dzieci FORTE  malinowy 100ml;5907529461334;0
3400;Ibufen dla dzieci FORTE  malinowy 100ml;5907529461334;0
3400;Ibufen dla dzieci FORTE  malinowy 100ml;5907529461334;0
2934;Inhalator Aerochamber Plus Flow VU z mask¥;762860013476;0
2934;Inhalator Aerochamber Plus Flow VU z mask¥;762860013476;0
1904;Inhalator DIAGNOSTIC NANO kompres,tˆok.;5907581254226;0
1904;Inhalator DIAGNOSTIC NANO kompres,tˆok.;5907581254226;0
1904;Inhalator DIAGNOSTIC NANO kompres,tˆok.;5907581254226;0
2134;Jonolit saszet. 10 sasz.;5904960010268;0
2378;Kaset. do dawk.lek¢w (du¾a-tygod.) 1szt.;;1
2377;Kaset. do dawk.lek¢w (maˆa-caˆodzienna) 1s;5907513008026;0
2377;Kaset. do dawk.lek¢w (maˆa-caˆodzienna) 1s;5907513008026;1
2377;Kaset. do dawk.lek¢w (maˆa-caˆodzienna) 1s;;0
2377;Kaset. do dawk.lek¢w (maˆa-caˆodzienna) 1s;;0
2376;Kaset. do dawk.lek¢w dzienna KD3-A 1szt.;5907513008040;1
2376;Kaset. do dawk.lek¢w dzienna KD3-A 1szt.;5907513008040;0
2376;Kaset. do dawk.lek¢w dzienna KD3-A 1szt.;5907513008040;0
5796;Kaset. do dawk.lek¢w na 7 dni tygod.K7 1sz;5907513008057;0
2782;Kaset. do dawk.lek¢w tygod.KT-A 1 szt.;5907513008019;1
2782;Kaset. do dawk.lek¢w tygod.KT-A 1 szt.;5907513008019;0
2782;Kaset. do dawk.lek¢w tygod.KT-A 1 szt.;5907513008019;1
2379;Kaset. do dawk.lek¢w tygodniowa 7 na jedn¥;5907513008323;0
2379;Kaset. do dawk.lek¢w tygodniowa 7 na jedn¥;5907513008323;2
2379;Kaset. do dawk.lek¢w tygodniowa 7 na jedn¥;5907513008323;0
2379;Kaset. do dawk.lek¢w tygodniowa 7 na jedn¥;5907513008323;0
2379;Kaset. do dawk.lek¢w tygodniowa 7 na jedn¥;5907513008323;0
2379;Kaset. do dawk.lek¢w tygodniowa 7 na jedn¥;5907513008323;0
2379;Kaset. do dawk.lek¢w tygodniowa 7 na jedn¥;5907513008323;0
2379;Kaset. do dawk.lek¢w tygodniowa 7 na jedn¥;5907513008323;0
2379;Kaset. do dawk.lek¢w tygodniowa 7 na jedn¥;5907513008323;0
2375;Kasetka tygodniowa 4-komor. EL-COMP ELENA ;5907513008187;0
2375;Kasetka tygodniowa 4-komor. EL-COMP ELENA ;5907513008187;0
2935;Komora inhalacyjna AeroChamber Plus Flow V;762860850996;0
2935;Komora inhalacyjna AeroChamber Plus Flow V;762860850996;0
1408;Kompresy MEDICOMP 10 x 10cm niejaˆ. 100szt;4049500306355;0
1425;Len mielony 200g+200g 2 op.a 200g;5907078675183;0
2243;LINOMAG ½el d/mycia ciaˆa gˆowy d/dzieci/n;5900558000819;0
4652;Majtki poporodowe wieloraz.CANPOL siatka 7;5903407730011;1
4653;Majtki poporodowe wieloraz.CANPOL siatka 7;5903407730028;1
209;Neosine Forte tabl. 1 g 30 tabl.;5909991194741;0
3872;NOVACLEAR ATOPIS HYDRO-CONTROL 250ml;5906395837090;0
2135;OL 100% Sok malina z lip¥Vital 490ml;5904960010022;0
2135;OL 100% Sok malina z lip¥Vital 490ml;5904960010022;0
2123;OL Czarna Porzeczka pˆyn 490ml;5906874160206;0
2133;OL Dzika r¢¾a 100% sok z owo.rosaVital 490;5904960012750;0
2154;OL LenVitol olej lniany tˆoczony  500ml;5907559279084;0
2136;OL Malina 100% Sok ekologiczny  490 ml;5904960013344;0
2982;OL Olej z orzech¢w laskowych 250ml;5907078675534;0
2984;OL Olej z orzech¢w wˆoskich tˆocz. 250ml;5907078675039;0
2137;OL Pigwa 100% sok z owoc¢w pigwy 490ml;5904960012408;0
2144;OL Syrop Czarny bez 250 ml;5904960012583;0
2145;OL Syrop Dzika r¢¾a, 250 ml ;5904960013061;0
2147;OL Syrop Malina 250 ml;5904960012491;0
2146;OL Syrop Malina z lip¥ 250 ml;5904960012590;0
2148;OL Wiesioˆek kaps. 72 kaps.;5904960010480;0
2152;OL ½urawina 100% Sok z ½urawiny 490 ml;5904960013368;0
679;Opaska dziana podtrzymuj¥ca 4m x 5cm 1szt.;5900516830007;0
2052;Opaska elast.PEHA-CREPP 4m x 4cm 1szt.;40495583;1
2053;Opaska elast.PEHA-CREPP 4m x 6cm 1szt.;4049500952170;1
2054;Opaska elast.PEHA-CREPP 4m x 8cm 1szt.;4049500952187;0
2054;Opaska elast.PEHA-CREPP 4m x 8cm 1szt.;4049500952187;0
2054;Opaska elast.PEHA-CREPP 4m x 8cm 1szt.;4049500952187;0
2054;Opaska elast.PEHA-CREPP 4m x 8cm 1szt.;4049500952187;0
2055;Opaska elast.PEHA-CREPP 4m x10cm 1szt.;4049500952194;0
2055;Opaska elast.PEHA-CREPP 4m x10cm 1szt.;4049500952194;0
2055;Opaska elast.PEHA-CREPP 4m x10cm 1szt.;4049500952194;0
2056;Opaska elast.PEHA-CREPP 4m x12cm 1szt.;4049500952200;4
2056;Opaska elast.PEHA-CREPP 4m x12cm 1szt.;4049500952200;0
2056;Opaska elast.PEHA-CREPP 4m x12cm 1szt.;4049500952200;0
2112;Opaska opatr. z waty ROLTA SOFT 3m x  10cm;4049500927215;1
3174;Opˆata recyklingowa;5902768565133;357
3174;Opˆata recyklingowa;5902768565133;209
5401;Opˆata recyklingowa;;369
5180;ORAL-B SUPERFLOSS Ni† dentystyczna 50m;0300410825706;0
5180;ORAL-B SUPERFLOSS Ni† dentystyczna 50m;0300410825706;0
5180;ORAL-B SUPERFLOSS Ni† dentystyczna 50m;4103330017369;1
5180;ORAL-B SUPERFLOSS Ni† dentystyczna 50m;4103330017369;0
1660;PELBEZ BABY pr.do p.roztw. 12 sasz.;5906071054964;1
2224;PENATEN Krem 50 ml;3574660533880;0
2224;PENATEN Krem 50 ml;3574660533880;2
4973;Pˆatki kosm. DONNA x 100 szt 1 op.;5908278516658;0
4974;Pˆatki kosm. DONNA x 120 szt 1 op.;5908278516665;1
4179;Podkˆ.hig. BELLA MAMMA 10 szt.;5900516601270;0
4061;Podp. BELLA NORMAL NEW 10 szt.;5900516300654;0
4696;Podp. BELLA NORMAL NEW 20 szt.;5900516300814;0
4696;Podp. BELLA NORMAL NEW 20 szt.;5900516300814;0
2911;Podp. BELLA NORMAL NEW Maxi 10 szt.;5900516300692;0
2911;Podp. BELLA NORMAL NEW Maxi 10 szt.;5900516300692;0
2911;Podp. BELLA NORMAL NEW Maxi 10 szt.;5900516300692;0
284;Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt;5900516301125;0
284;Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt;5900516301125;0
284;Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt;5900516301125;0
284;Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt;5900516301125;0
284;Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt;5900516301125;0
284;Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt;5900516301125;0
284;Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt;5900516301125;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
2282;Pojemnik na kaˆ z ˆop.bez etyk. 30 ml;;0
4138;PORTABLE MESH Nebulizator AIR PRO 1szt.;5903351729017;0
2781;Przecinarka do tabletek 1 szt.;5907513008064;0
2781;Przecinarka do tabletek 1 szt.;5907513008064;0
2781;Przecinarka do tabletek 1 szt.;5907513008064;0
2781;Przecinarka do tabletek 1 szt.;5907513008064;0
2781;Przecinarka do tabletek 1 szt.;5907513008064;0
2781;Przecinarka do tabletek 1 szt.;5907513008064;1
2781;Przecinarka do tabletek 1 szt.;5907513008064;0
2781;Przecinarka do tabletek 1 szt.;5907513008064;0
2781;Przecinarka do tabletek 1 szt.;5907513008064;0
2781;Przecinarka do tabletek 1 szt.;5907513008064;0
2140;Rekinol extra kaps. 72 kaps.;5904960011746;0
4308;Rp.Butel. 200 ml.-recept. 1 szt.;;0
4309;Rp.Butel. 250 ml.-recept. 1 szt.;;0
4309;Rp.Butel. 250 ml.-recept. 1 szt.;5903228140143;5
4478;Rp.Butelka apteczna 100ml gwint 28mm 1szt.;5903228140082;3
5094;Rp.Butelka apteczna 500ml t 28mm 1szt.;5903228140167;0
2829;Rp.Hascobaza (Rec.) podˆo¾e ma˜ciowe 500 g;5909990680986;0
2981;Rp.Hydrocortisonum (Rec.) subst. 0,5 g;5909991213916;0
4452;Rp.Hydrocortisonum (Rec.) subst. 0,5 g;5901315021498;0
4476;Rp.Nakr©tka na butelk© fi 28 1 szt.;5906874832288;83
2873;Rp.pudeˆko  GAKO Unguator? 100/140 ml ;4251208800060;0
4483;Rp.Pudeˆko apteczne 50ml/30g typ 6 1 szt.;B.KODU;0
4483;Rp.Pudeˆko apteczne 50ml/30g typ 6 1 szt.;5903313700009;3
3473;Rp.Pudeˆko apteczne biaˆe 200 ml zak 12sz;;7
4482;Rp.Pudeˆko apteczne typ 16 20g/25ml 1szt.;B.KODU;0
2835;Rp.Pudeˆko do ma˜ci z pol.biaˆ 100g 20szt.;;17
831;Rutinacea Complete tabl. 120tabl.(90+30ta);5904356980946;2
4240;SCHOLL Gelactiv - Du¾y klin 1 szt.;5038483002841;0
4238;SCHOLL klin p/pˆaskostopiu podˆ. r.35-37 4;5908270601512;0
2141;Skrzypolen z biotyn¥ kaps. 72 kaps.;5904960011296;0
3472;Sm. gryzak silik. anatom. pow.18m CANPOL 2;5903407225081;1
3472;Sm. gryzak silik. anatom. pow.18m CANPOL 2;5903407225081;0
3470;Smocz. CANPOL gryz.silik.okr.Nature 22/435;5903407224350;0
3689;Sollievo tabl. 30 tabl.;8032472000945;0.5
5824;SOPELEK 2 Aspirator do nosa zapas.jednor.f;5901549819038;3
3073;SOPELEK Aspirator do nosa aparat+3 jedn.ko;5901549819007;1
3073;SOPELEK Aspirator do nosa aparat+3 jedn.ko;5901549819007;0
3073;SOPELEK Aspirator do nosa aparat+3 jedn.ko;5901549819007;0
3073;SOPELEK Aspirator do nosa aparat+3 jedn.ko;5901549819007;0
1311;Stopery p/haˆasowe jednoraz.u¾yt. 1szt.;;0
1311;Stopery p/haˆasowe jednoraz.u¾yt. 1szt.;;1
1311;Stopery p/haˆasowe jednoraz.u¾yt. 1szt.;;0
1311;Stopery p/haˆasowe jednoraz.u¾yt. 1szt.;;0
1311;Stopery p/haˆasowe jednoraz.u¾yt. 1szt.;;0
1311;Stopery p/haˆasowe jednoraz.u¾yt. 1szt.;;3
1301;Stopper tˆum.do uszu 111 TYP MWD-11 1szt.;5902138051112;0
1301;Stopper tˆum.do uszu 111 TYP MWD-11 1szt.;5902138051112;0
2970;Stopper tˆum.do uszu DECIDAMP 1 op.;5906874006016;0
2970;Stopper tˆum.do uszu DECIDAMP 1 op.;5906874006016;2
4875;Stopper tˆum.do uszu ELA 201 1szt.(para);5902138051112;2
624;Sztyft do nosa Rhin-Bac Fresh 1 szt.;5904055001805;0
624;Sztyft do nosa Rhin-Bac Fresh 1 szt.;5904055001805;0
624;Sztyft do nosa Rhin-Bac Fresh 1 szt.;5904055001805;0
4665;Tantum Rosa Irygator do hig.intymnej 500ml;5906681443332;0
4665;Tantum Rosa Irygator do hig.intymnej 500ml;5906681443332;1
2283;Termometr bezrt©ciowy klasyczny 1 szt.;5907572329940;3
1958;Termometr Diagnostic NC300 1 szt.;5907581253564;0
1958;Termometr Diagnostic NC300 1 szt.;5907581253564;0
1958;Termometr Diagnostic NC300 1 szt.;5907581253564;0
1958;Termometr Diagnostic NC300 1 szt.;5907581253564;0
1958;Termometr Diagnostic NC300 1 szt.;5907581253564;0
1959;Termometr DIAGNOSTIC T-01 elektroniczny 1s;5906881862278;0
1959;Termometr DIAGNOSTIC T-01 elektroniczny 1s;5906881862278;2
1960;Termometr DIAGNOSTIC T-02 Flexible elektro;5906881862285;0
1960;Termometr DIAGNOSTIC T-02 Flexible elektro;5906881862285;5
4002;Termometr Dr CHECK FC500 bezkontakt.na pod;5907581255988;0
2088;Test ci¥¾owy SWISS TEST AMIL pˆytkowy 1szt;5905919045317;0
4745;Trix lasso na kleszcze 1 szt.;7394287045018;0
4745;Trix lasso na kleszcze 1 szt.;7394287045018;0
4745;Trix lasso na kleszcze 1 szt.;7394287045018;1
2082;Vitaswiss C200 Forte tabl. 50 tabl.;5905919045331;0
2083;Vitaswiss D3 2000 j.m. kaps.mi©kkie 60kaps;5905919045294;0
2084;Vitaswiss K2+D3 kaps.mi©kkie 30 kaps.;5905919045300;0
516;Voltaren MAX ¾el 0,0232 g/g 50 g (tuba);5909990968947;0
2119;Volumatic apar.do rozp. 1 szt.;9908180430239;0
2119;Volumatic apar.do rozp. 1 szt.;3393370029380;0
4221;Wata baweˆ.wiskoz. opatr.100g 1 szt.;5904913810488;0
4221;Wata baweˆ.wiskoz. opatr.100g 1 szt.;5904913810488;0
4223;Wata baweˆ.wiskoz. opatr.200g 1 szt.;5903956001020;0
4223;Wata baweˆ.wiskoz. opatr.200g 1 szt.;5904913810471;1
520;Wata opatrunkowa 100g 1 szt.;5908278516344;0
520;Wata opatrunkowa 100g 1 szt.;5908278516344;0
520;Wata opatrunkowa 100g 1 szt.;5908278516344;0
520;Wata opatrunkowa 100g 1 szt.;5908278516344;0
1833;Witamina B complex tabl. 50 tabl.AMIL;5907709926202;0
1832;Witamina C 200mg tabl.powl. 50 tabl.AMIL;5907709926189;0
283;Wkˆ.hig. BELLA PANTY CLASSIC Regular 20szt;5900516310417;0
2226;Wkˆ.laktacyjne PENATEN MAMA 50 szt.;3574660213201;0
2226;Wkˆ.laktacyjne PENATEN MAMA 50 szt.;3574660213201;0
2226;Wkˆ.laktacyjne PENATEN MAMA 50 szt.;3574660213201;0
2342;Zatoxin tabl.powl. 60tabl.;5908311593295;0
1894;Zestaw akcesori¢w do inhalacji ;5907581254264;0
1894;Zestaw akcesori¢w do inhalacji ;5907581254264;0
1894;Zestaw akcesori¢w do inhalacji ;5907581254264;0
1894;Zestaw akcesori¢w do inhalacji ;5907581254264;0
1894;Zestaw akcesori¢w do inhalacji ;5907581254264;0
2151;½urascin Junior syrop 100 ml;5904960010244;0
2150;½urascin kaps. 36 kaps.;5907559279718;0
