
"NR_TOWARU";"NAZWA_TOWARU";"DATA_ZAKUPU";"DOK_ZAKUPU";"SERIA";"KOD_KRESKOWY";"ILOSC_AKTUALNA";"STAN_FAKTYCZNY";"ILOSC_STAN";"CENA_ZAKUPU"
"1573";"Dr Scott Szczot.d/zêb.dla dzieci z minutni";"2019.07.05";"1556310154";;"5907572329919";"0";"0";"0";"10.36"
"1573";"Dr Scott Szczot.d/zêb.dla dzieci z minutni";"2019.06.12";"1556186521";;"5907572329919";"0";"0";"0";"10.36"
"1573";"Dr Scott Szczot.d/zêb.dla dzieci z minutni";"2019.01.09";"8671D/2019/WA";;"5907572329919";"0";"0";"0";"9.98"
"1573";"Dr Scott Szczot.d/zêb.dla dzieci z minutni";"2018.11.20";"FV/270421/18/DW";;"5907572329919";"0";"0";"0";"9.82"
"1573";"Dr Scott Szczot.d/zêb.dla dzieci z minutni";"2019.09.19";"FV/197533/19/DW";"brak serii";"5907572329919";"11";"0";"0";"9.99"
"2713";"Femibion Natal 1 30 tabl.";"2018.12.12";"5/2018";"147918B";"5907589874167";"0";"0";"0";"28.72"
"3622";"Filtry higieniczne NoseFrida 10 szt.";"2019.02.09";"50119D/2019/WA";"032018";"7330304404185";"0";"0";"0";"2.28"
"2078";"Flora LGG Baby krople 7 ml";"2018.12.18";"252/12/2018";;"5905919045287";"0";"0";"0";"8.63"
"2079";"Flora LGG MAX kaps. 20 kaps.";"2019.01.04";"11/01/2019";;"5905919045256";"0";"0";"0";"5.93"
"3660";"Gruszka z miêkkim koñcem nr 2 1 szt.";"2019.02.05";"FV/29494/19/DW";"02181811";"5904617180023";"0";"0";"0";"4.2"
"3660";"Gruszka z miêkkim koñcem nr 2 1 szt.";"2019.02.26";"FV/46528/19/DW";"02181812";"5904617180023";"1";"0";"0";"3.45"
"3661";"Gruszka z miêkkim koñcem nr 7 1 szt.";"2019.02.05";"FV/29494/19/DW";"02181810";"5904617180078";"0";"0";"0";"4.69"
"3662";"Gruszka z miêkkim koñcem nr 9 1 szt.";"2019.02.05";"FV/29494/19/DW";"02181811";"5904617180092";"1";"0";"0";"6.19"
"3400";"Ibufen dla dzieci FORTE  malinowy 100ml";"2019.01.02";"FV/295/19/DW";;"5907529461334";"0";"0";"0";"16.83"
"3400";"Ibufen dla dzieci FORTE  malinowy 100ml";"2019.01.15";"FV/11041/19/DW";;"5907529461334";"0";"0";"0";"17.07"
"3400";"Ibufen dla dzieci FORTE  malinowy 100ml";"2018.12.15";"FV/292715/18/DW";;"5907529461334";"0";"0";"0";"16.83"
"3400";"Ibufen dla dzieci FORTE  malinowy 100ml";"2018.11.19";"FV/266770/18/DW";;"5907529461334";"0";"0";"0";"18.17"
"2934";"Inhalator Aerochamber Plus Flow VU z mask¹";"2018.12.29";"431741D/2018/WA";"108502";"762860013476";"0";"0";"0";"89.64"
"2934";"Inhalator Aerochamber Plus Flow VU z mask¹";"2019.01.09";"8671D/2019/WA";;"762860013476";"0";"0";"0";"92.79"
"1904";"Inhalator DIAGNOSTIC NANO kompres,t³ok.";"2018.11.22";"F/041057/18/MG";;"5907581254226";"0";"0";"0";"76.97"
"1904";"Inhalator DIAGNOSTIC NANO kompres,t³ok.";"2019.01.09";"F/000889/19/MG";;"5907581254226";"0";"0";"0";"76.97"
"1904";"Inhalator DIAGNOSTIC NANO kompres,t³ok.";"2019.02.25";"F/007828/19/MG";"REV.2016.12.01";"5907581254226";"0";"0";"0";"76.97"
"2134";"Jonolit saszet. 10 sasz.";"2018.11.26";"FS20181107216";;"5904960010268";"0";"0";"0";"7.87"
"2378";"Kaset. do dawk.leków (du¿a-tygod.) 1szt.";"2018.11.30";"FV/279757/18/DW";"08/2018";;"1";"0";"0";"5.39"
"2377";"Kaset. do dawk.leków (ma³a-ca³odzienna) 1s";"2019.04.18";"FM/9499/19/DW";"201811";"5907513008026";"0";"0";"0";"2.74"
"2377";"Kaset. do dawk.leków (ma³a-ca³odzienna) 1s";"2019.06.04";"FM/13416/19/DW";;"5907513008026";"1";"0";"0";"2.74"
"2377";"Kaset. do dawk.leków (ma³a-ca³odzienna) 1s";"2018.12.08";"FM/25536/18/DW";"10/2017";;"0";"0";"0";"2.72"
"2377";"Kaset. do dawk.leków (ma³a-ca³odzienna) 1s";"2018.11.30";"FV/279757/18/DW";;;"0";"0";"0";"3.75"
"2376";"Kaset. do dawk.leków dzienna KD3-A 1szt.";"2019.08.02";"FM/18970/19/DW";"""brak serii""";"5907513008040";"1";"0";"0";"3.3"
"2376";"Kaset. do dawk.leków dzienna KD3-A 1szt.";"2018.12.18";"FV/294399/18/DW";;"5907513008040";"0";"0";"0";"3.11"
"2376";"Kaset. do dawk.leków dzienna KD3-A 1szt.";"2018.11.30";"FV/279757/18/DW";;"5907513008040";"0";"0";"0";"3.31"
"5796";"Kaset. do dawk.leków na 7 dni tygod.K7 1sz";"2019.09.19";"FV/197860/19/DW";"03/2019";"5907513008057";"0";"0";"0";"20.5"
"2782";"Kaset. do dawk.leków tygod.KT-A 1 szt.";"2019.07.20";"12027/FG/LC/19";"04/2019";"5907513008019";"1";"0";"0";"9.54"
"2782";"Kaset. do dawk.leków tygod.KT-A 1 szt.";"2018.12.15";"FV/292715/18/DW";;"5907513008019";"0";"0";"0";"8.27"
"2782";"Kaset. do dawk.leków tygod.KT-A 1 szt.";"2018.12.19";"FV/295701/18/DW";"08/2018";"5907513008019";"1";"0";"0";"8.27"
"2379";"Kaset. do dawk.leków tygodniowa 7 na jedn¹";"2019.08.06";"20047/FG/LC/19";"10/2017";"5907513008323";"0";"0";"0";"4.94"
"2379";"Kaset. do dawk.leków tygodniowa 7 na jedn¹";"2019.09.18";"1556670413";"06/2019";"5907513008323";"2";"0";"0";"4.49"
"2379";"Kaset. do dawk.leków tygodniowa 7 na jedn¹";"2019.09.04";"35054/FG/LC/19";"10/2017";"5907513008323";"0";"0";"0";"4.96"
"2379";"Kaset. do dawk.leków tygodniowa 7 na jedn¹";"2019.04.09";"88036/FG/GD/19";"10/2017";"5907513008323";"0";"0";"0";"4.94"
"2379";"Kaset. do dawk.leków tygodniowa 7 na jedn¹";"2019.04.09";"88036/FG/GD/19";"10/2017";"5907513008323";"0";"0";"0";"4.93"
"2379";"Kaset. do dawk.leków tygodniowa 7 na jedn¹";"2019.05.25";"FM/12506/19/DW";"10/2017";"5907513008323";"0";"0";"0";"4.65"
"2379";"Kaset. do dawk.leków tygodniowa 7 na jedn¹";"2018.12.14";"FV/291788/18/DW";;"5907513008323";"0";"0";"0";"4.11"
"2379";"Kaset. do dawk.leków tygodniowa 7 na jedn¹";"2019.07.29";"FV/157073/19/DW";"10/2017";"5907513008323";"0";"0";"0";"5.12"
"2379";"Kaset. do dawk.leków tygodniowa 7 na jedn¹";"2018.11.30";"FV/279757/18/DW";;"5907513008323";"0";"0";"0";"4.66"
"2375";"Kasetka tygodniowa 4-komor. EL-COMP ELENA ";"2018.12.14";"416320D/2018/WA";;"5907513008187";"0";"0";"0";"19.51"
"2375";"Kasetka tygodniowa 4-komor. EL-COMP ELENA ";"2018.11.30";"FV/279757/18/DW";;"5907513008187";"0";"0";"0";"20.36"
"2935";"Komora inhalacyjna AeroChamber Plus Flow V";"2018.12.29";"431741D/2018/WA";"108509";"762860850996";"0";"0";"0";"50.76"
"2935";"Komora inhalacyjna AeroChamber Plus Flow V";"2019.01.09";"8671D/2019/WA";"108509";"762860850996";"0";"0";"0";"56.25"
"1408";"Kompresy MEDICOMP 10 x 10cm nieja³. 100szt";"2019.04.08";"FM/8565/19/DW";"810848250";"4049500306355";"0";"0";"0";"8.53"
"1425";"Len mielony 200g+200g 2 op.a 200g";"2018.11.26";"FS20181107216";;"5907078675183";"0";"0";"0";"6.6"
"2243";"LINOMAG ¯el d/mycia cia³a g³owy d/dzieci/n";"2019.02.25";"FV/45908/19/DW";;"5900558000819";"0";"0";"0";"7.63"
"4652";"Majtki poporodowe wieloraz.CANPOL siatka 7";"2019.04.16";"FV/83086/19/DW";"0181031";"5903407730011";"1";"0";"0";"8.83"
"4653";"Majtki poporodowe wieloraz.CANPOL siatka 7";"2019.04.16";"FV/83086/19/DW";"0181031";"5903407730028";"1";"0";"0";"8.83"
"209";"Neosine Forte tabl. 1 g 30 tabl.";"2019.02.19";"MM/WP/25/2019";;"5909991194741";"0";"0";"0";"33.26"
"3872";"NOVACLEAR ATOPIS HYDRO-CONTROL 250ml";"2019.02.19";"F/006759/19/MG";;"5906395837090";"0";"0";"0";"22.76"
"2135";"OL 100% Sok malina z lip¹Vital 490ml";"2018.11.26";"FS20181107216";;"5904960010022";"0";"0";"0";"18.62"
"2135";"OL 100% Sok malina z lip¹Vital 490ml";"2018.11.26";"FS20181107216";;"5904960010022";"0";"0";"0";"19.16"
"2123";"OL Czarna Porzeczka p³yn 490ml";"2018.11.26";"FS20181107216";;"5906874160206";"0";"0";"0";"12.01"
"2133";"OL Dzika ró¿a 100% sok z owo.rosaVital 490";"2018.11.26";"FS20181107216";;"5904960012750";"0";"0";"0";"17.96"
"2154";"OL LenVitol olej lniany t³oczony  500ml";"2018.11.26";"FS20181107216";;"5907559279084";"0";"0";"0";"17.05"
"2136";"OL Malina 100% Sok ekologiczny  490 ml";"2019.01.03";"FS20190100212";;"5904960013344";"0";"0";"0";"18.05"
"2982";"OL Olej z orzechów laskowych 250ml";"2019.01.03";"FS20190100212";;"5907078675534";"0";"0";"0";"23.12"
"2984";"OL Olej z orzechów w³oskich t³ocz. 250ml";"2019.01.03";"FS20190100212";;"5907078675039";"0";"0";"0";"21.32"
"2137";"OL Pigwa 100% sok z owoców pigwy 490ml";"2018.11.26";"FS20181107216";;"5904960012408";"0";"0";"0";"15.94"
"2144";"OL Syrop Czarny bez 250 ml";"2018.11.26";"FS20181107216";;"5904960012583";"0";"0";"0";"7.25"
"2145";"OL Syrop Dzika ró¿a, 250 ml ";"2018.11.26";"FS20181107216";;"5904960013061";"0";"0";"0";"10.46"
"2147";"OL Syrop Malina 250 ml";"2018.11.26";"FS20181107216";;"5904960012491";"0";"0";"0";"8.04"
"2146";"OL Syrop Malina z lip¹ 250 ml";"2018.11.26";"FS20181107216";;"5904960012590";"0";"0";"0";"8.17"
"2148";"OL Wiesio³ek kaps. 72 kaps.";"2018.11.26";"FS20181107216";;"5904960010480";"0";"0";"0";"14.97"
"2152";"OL ¯urawina 100% Sok z ¯urawiny 490 ml";"2018.11.26";"FS20181107216";;"5904960013368";"0";"0";"0";"15.24"
"679";"Opaska dziana podtrzymuj¹ca 4m x 5cm 1szt.";"2018.11.20";"FV/269642/18/DW";"1810 26Z";"5900516830007";"0";"0";"0";"0.3"
"2052";"Opaska elast.PEHA-CREPP 4m x 4cm 1szt.";"2019.03.28";"1555792896";"80410449";"40495583";"1";"0";"0";"0.71"
"2053";"Opaska elast.PEHA-CREPP 4m x 6cm 1szt.";"2019.02.21";"1555611676";"81110449";"4049500952170";"1";"0";"0";"0.78"
"2054";"Opaska elast.PEHA-CREPP 4m x 8cm 1szt.";"2018.12.08";"FM/25536/18/DW";"82910449";"4049500952187";"0";"0";"0";"0.8"
"2054";"Opaska elast.PEHA-CREPP 4m x 8cm 1szt.";"2019.03.20";"FV/63431/19/DW";"84110449";"4049500952187";"0";"0";"0";"1.11"
"2054";"Opaska elast.PEHA-CREPP 4m x 8cm 1szt.";"2018.12.04";"FV/282842/18/DW";"82910449";"4049500952187";"0";"0";"0";"1.08"
"2054";"Opaska elast.PEHA-CREPP 4m x 8cm 1szt.";"2018.11.23";"FV/273579/18/DW";"82910449";"4049500952187";"0";"0";"0";"1.08"
"2055";"Opaska elast.PEHA-CREPP 4m x10cm 1szt.";"2019.03.18";"1555734451";"83811449";"4049500952194";"0";"0";"0";"1.02"
"2055";"Opaska elast.PEHA-CREPP 4m x10cm 1szt.";"2018.12.08";"FM/25536/18/DW";"82711149";"4049500952194";"0";"0";"0";"0.87"
"2055";"Opaska elast.PEHA-CREPP 4m x10cm 1szt.";"2018.11.23";"FV/273579/18/DW";"72310449";"4049500952194";"0";"0";"0";"0.96"
"2056";"Opaska elast.PEHA-CREPP 4m x12cm 1szt.";"2019.04.30";"1555959528";"82811149";"4049500952200";"4";"0";"0";"1.31"
"2056";"Opaska elast.PEHA-CREPP 4m x12cm 1szt.";"2019.04.01";"FV/72153/19/DW";"84311449";"4049500952200";"0";"0";"0";"1.66"
"2056";"Opaska elast.PEHA-CREPP 4m x12cm 1szt.";"2018.11.23";"FV/273579/18/DW";"82511449";"4049500952200";"0";"0";"0";"1.54"
"2112";"Opaska opatr. z waty ROLTA SOFT 3m x  10cm";"2018.11.24";"FV/274591/18/DW";"898323007";"4049500927215";"1";"0";"0";"21.96"
"3174";"Op³ata recyklingowa";"2019.01.10";"FV/7450/19/DW";;"5902768565133";"357";"0";"0";"0.05"
"3174";"Op³ata recyklingowa";"2019.01.10";"FV/7450/19/DW";;"5902768565133";"209";"0";"0";"0.05"
"5401";"Op³ata recyklingowa";"2019.07.17";"FV/148682/19/DW";;;"369";"0";"0";"0.02"
"5180";"ORAL-B SUPERFLOSS Niæ dentystyczna 50m";"2019.06.21";"217445D/2019/WA";"9066791000";"0300410825706";"0";"0";"0";"20.69"
"5180";"ORAL-B SUPERFLOSS Niæ dentystyczna 50m";"2019.06.25";"221482D/2019/WA";"9066791000";"0300410825706";"0";"0";"0";"20.69"
"5180";"ORAL-B SUPERFLOSS Niæ dentystyczna 50m";"2019.08.30";"FV/181536/19/DW";"9080791000";"4103330017369";"1";"0";"0";"16.75"
"5180";"ORAL-B SUPERFLOSS Niæ dentystyczna 50m";"2019.07.31";"FV/158976/19/DW";"9080791000";"4103330017369";"0";"0";"0";"16.75"
"1660";"PELBEZ BABY pr.do p.roztw. 12 sasz.";"2019.03.06";"mm/wp/33/2019";"01AF1018";"5906071054964";"1";"0";"0";"14.93"
"2224";"PENATEN Krem 50 ml";"2018.11.27";"FV/276359/18/DW";;"3574660533880";"0";"0";"0";"10.31"
"2224";"PENATEN Krem 50 ml";"2018.11.27";"FV/276359/18/DW";"320367B";"3574660533880";"2";"0";"0";"10.31"
"4973";"P³atki kosm. DONNA x 100 szt 1 op.";"2019.05.31";"FV/113829/19/DW";;"5908278516658";"0";"0";"0";"4.6"
"4974";"P³atki kosm. DONNA x 120 szt 1 op.";"2019.05.31";"FV/113829/19/DW";;"5908278516665";"1";"0";"0";"6.03"
"4179";"Podk³.hig. BELLA MAMMA 10 szt.";"2019.03.07";"FV/53734/19/DW";;"5900516601270";"0";"0";"0";"5.3"
"4061";"Podp. BELLA NORMAL NEW 10 szt.";"2019.02.28";"FV/48558/19/DW";;"5900516300654";"0";"0";"0";"2.06"
"4696";"Podp. BELLA NORMAL NEW 20 szt.";"2019.04.23";"FV/86658/19/DW";"2019.04.12";"5900516300814";"0";"0";"0";"3.62"
"4696";"Podp. BELLA NORMAL NEW 20 szt.";"2019.04.23";"FV/86658/19/DW";"2019.04.12";"5900516300814";"0";"0";"0";"3.62"
"2911";"Podp. BELLA NORMAL NEW Maxi 10 szt.";"2019.02.09";"FM/3541/19/DW";;"5900516300692";"0";"0";"0";"3.62"
"2911";"Podp. BELLA NORMAL NEW Maxi 10 szt.";"2018.12.28";"FM/27013/18/DW";;"5900516300692";"0";"0";"0";"3.38"
"2911";"Podp. BELLA NORMAL NEW Maxi 10 szt.";"2019.04.23";"FV/86658/19/DW";"2019.04.04";"5900516300692";"0";"0";"0";"4.2"
"284";"Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt";"2019.01.28";"FM/2375/19/DW";;"5900516301125";"0";"0";"0";"6.34"
"284";"Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt";"2019.06.22";"FM/15077/19/DW";;"5900516301125";"0";"0";"0";"6.37"
"284";"Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt";"2018.12.28";"FM/27013/18/DW";;"5900516301125";"0";"0";"0";"6.18"
"284";"Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt";"2019.01.09";"FV/5846/19/DW";;"5900516301125";"0";"0";"0";"7.62"
"284";"Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt";"2018.12.13";"FV/290727/18/DW";;"5900516301125";"0";"0";"0";"7.05"
"284";"Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt";"2018.11.19";"FV/266773/18/DW";;"5900516301125";"0";"0";"0";"7.05"
"284";"Podp. BELLA PERFECTA ULTRA BLUE AIR 10szt";"2019.06.19";"FV/127947/19/DW";;"5900516301125";"0";"0";"0";"7.62"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.02.07";"FM/3315/19/DW";"140119";;"0";"0";"0";"0.37"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.02.21";"FM/4616/19/DW";"140119";;"0";"0";"0";"0.37"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.02.09";"FM/3541/19/DW";"140119";;"0";"0";"0";"0.37"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.04.17";"FM/9369/19/DW";"140119";;"0";"0";"0";"0.37"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.07.03";"FM/16070/19/DW";"140119";;"0";"0";"0";"0.37"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.06.26";"FM/15374/19/DW";"140119";;"0";"0";"0";"0.37"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.06.17";"FM/14622/19/DW";"140119";;"0";"0";"0";"0.37"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.05.17";"FM/11750/19/DW";"140119";;"0";"0";"0";"0.37"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.03.20";"FV/63072/19/DW";"140119";;"0";"0";"0";"0.52"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.03.26";"FV/67205/19/DW";"140119";;"0";"0";"0";"0.52"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.01.21";"FV/16454/19/DW";"030718";;"0";"0";"0";"0.52"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.01.25";"FV/20547/19/DW";"030718";;"0";"0";"0";"0.52"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.04.12";"FV/80572/19/DW";"140119";;"0";"0";"0";"0.52"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.04.12";"FV/80572/19/DW";"140119";;"0";"0";"0";"0.52"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.03.11";"FV/55997/19/DW";"140119";;"0";"0";"0";"0.52"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.07.19";"FV/150482/19/DW";"140119";;"0";"0";"0";"0.52"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.07.19";"FV/150482/19/DW";"140119";;"0";"0";"0";"0.52"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.05.16";"FV/102286/19/DW";"140119";;"0";"0";"0";"0.52"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.07.18";"FV/149584/19/DW";"140119";;"0";"0";"0";"0.52"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2018.11.29";"FV/279052/18/DW";"90918";;"0";"0";"0";"0.3"
"2282";"Pojemnik na ka³ z ³op.bez etyk. 30 ml";"2019.09.21";"FV/199539/19/DW";"140119";;"0";"0";"0";"0.52"
"4138";"PORTABLE MESH Nebulizator AIR PRO 1szt.";"2019.03.05";"FV/AD/19/02/00170";;"5903351729017";"0";"0";"0";"216.11"
